path_id,source_id,destination_id,width
2,3,10,1
4,5,12,1
6,7,8,1
8,9,11,1
10,11,13,1
12,6,8,1
14,3,6,1
16,8,12,1
18,0,13,1
20,3,5,1
22,1,2,1
24,6,13,1
26,3,4,1
28,4,7,1
30,5,6,1
32,4,12,1
34,4,8,1
36,0,5,1
38,6,12,1
42,9,13,1
44,6,9,1
46,2,3,1
48,1,8,1
50,7,13,1
52,4,13,1
54,4,11,1
58,4,9,1
60,1,12,1
62,2,10,1
66,9,12,1
68,9,10,1
70,5,7,1
72,8,11,1
74,3,7,1
76,7,12,1
78,1,5,1
80,5,13,1
82,0,10,1
84,12,13,1
88,1,4,1
90,2,7,1
94,0,6,1
96,6,10,1
98,11,12,1
100,0,7,1
102,2,6,1
104,0,4,1
106,2,4,1
108,5,10,1
110,3,11,1
112,4,5,1
114,10,11,1
116,8,10,1
118,1,3,1
120,0,11,1
122,5,9,1
124,1,9,1
126,7,9,1
128,5,8,1
130,1,6,1
132,7,11,1
134,8,13,1
136,0,3,1
138,3,13,1
140,0,2,1
142,1,10,1
148,10,13,1
150,0,9,1
152,5,11,1
154,0,1,1
156,8,9,1
158,1,7,1
160,4,6,1
162,1,13,1
164,3,9,1
166,10,12,1
168,1,11,1
170,6,7,1
172,7,10,1
174,4,10,1
180,2,5,1
184,3,10,4
186,5,12,4
188,7,8,4
190,9,11,4
192,11,13,4
194,6,8,4
196,3,6,4
198,8,12,4
200,0,13,4
202,3,5,4
204,1,2,4
206,6,13,4
208,3,4,4
210,4,7,4
212,5,6,4
214,4,12,4
218,0,5,4
222,2,11,4
224,9,13,4
228,2,3,4
230,1,8,4
232,7,13,4
242,1,12,4
248,9,12,4
250,9,10,4
252,5,7,4
254,8,11,4
256,3,7,4
258,7,12,4
260,1,5,4
262,0,10,4
264,12,13,4
278,11,12,4
280,0,7,4
292,10,11,4
294,8,10,4
296,1,3,4
304,7,11,4
306,8,13,4
308,0,3,4
312,1,10,4
320,0,1,4
322,8,9,4
324,1,7,4
334,7,10,4
336,4,10,4
342,9,11,4
344,11,13,4
356,4,7,4
364,9,13,4
384,3,7,4
410,1,3,4
414,0,3,4
424,0,1,4
426,8,9,4
428,1,7,4
438,7,10,4
448,9,11,2
450,11,13,2
462,0,5,2
464,9,13,2
482,5,7,2
484,8,11,2
500,1,3,2
504,7,9,2
506,0,3,2
510,1,10,2
516,0,1,2
518,8,9,2
520,1,7,2
530,7,10,2
536,9,11,2
538,11,13,2
548,9,13,2
576,7,9,2
582,1,10,2
588,8,9,2
600,7,10,2
608,3,10,1
612,7,8,1
614,9,11,1
616,11,13,1
622,3,5,1
624,1,2,1
626,3,4,1
634,0,5,1
636,9,13,1
646,1,12,1
648,9,12,1
652,3,7,1
674,1,3,1
684,8,13,1
686,0,3,1
692,1,10,1
700,0,1,1
702,8,9,1
704,1,7,1
716,7,10,1
726,9,11,1
728,11,13,1
742,9,13,1
778,1,10,1
784,8,9,1
786,1,7,1
796,7,10,1
802,9,11,4
806,9,13,4
822,8,9,4
874,1,10,2
878,8,9,2
928,9,11,1
930,11,13,1
944,9,13,1
976,8,9,1
978,1,7,1
984,7,10,1
