path_id,link_id,first_color
2,7,0
2,10,0
2,11,0
2,13,0
4,8,0
4,9,0
4,15,0
6,12,0
6,14,0
8,16,0
10,19,0
12,10,3
12,8,3
12,9,3
14,7,4
14,10,4
16,15,1
18,2,5
18,7,5
18,10,5
18,11,5
18,12,5
18,17,5
20,7,1
22,0,0
22,1,0
24,11,6
24,12,6
24,17,6
26,7,7
26,8,7
28,8,8
28,10,8
28,11,8
30,10,7
32,9,5
32,15,5
34,9,1
36,2,6
36,7,6
38,11,7
38,12,7
38,17,7
38,20,7
42,17,0
44,11,11
44,12,11
46,1,2
46,2,2
48,3,13
48,7,13
48,8,13
48,9,13
50,12,8
50,17,8
52,9,8
52,15,8
52,20,8
54,8,15
54,10,15
54,11,15
54,13,15
54,18,15
58,8,16
58,10,16
58,11,16
58,12,16
60,3,17
60,7,17
60,8,17
60,9,17
60,15,17
62,6,18
62,8,18
62,10,18
62,11,18
62,13,18
66,17,4
66,20,4
68,12,12
68,13,12
70,10,13
70,11,13
72,15,12
72,20,12
72,19,12
74,7,19
74,10,19
74,11,19
76,12,13
76,17,13
76,20,13
78,3,3
78,7,3
80,10,17
80,11,17
80,12,17
80,17,17
82,0,1
82,5,1
84,20,0
88,3,21
88,7,21
88,8,21
90,6,22
90,8,22
90,10,22
90,11,22
94,2,23
94,7,23
94,10,23
96,11,21
96,13,21
98,19,5
98,20,5
100,2,25
100,7,25
100,10,25
100,11,25
102,6,26
102,8,26
102,10,26
104,1,8
104,6,8
106,6,0
108,10,27
108,11,27
108,13,27
110,7,28
110,10,28
110,11,28
110,13,28
110,18,28
112,8,23
114,18,0
116,14,19
116,12,19
116,13,19
118,3,5
120,0,9
120,5,9
120,18,9
122,10,29
122,11,29
122,12,29
124,4,18
124,12,18
126,12,20
128,8,25
128,9,25
130,3,31
130,7,31
130,10,31
132,13,7
132,18,7
134,15,16
134,20,16
136,2,0
138,7,32
138,10,32
138,11,32
138,12,32
138,17,32
140,1,9
142,5,4
148,18,8
148,19,8
150,2,33
150,7,33
150,10,33
150,11,33
150,12,33
152,10,34
152,11,34
152,13,34
152,18,34
154,0,8
156,14,1
158,4,0
160,8,35
160,10,35
162,5,16
162,18,16
162,19,16
164,7,36
164,10,36
164,11,36
164,12,36
166,18,17
166,19,17
166,20,17
168,5,10
168,18,10
170,11,31
172,13,5
174,8,38
174,10,38
174,11,38
174,13,38
180,6,28
180,8,28
184,7,39
184,10,39
184,11,39
184,13,39
186,8,29
186,9,29
186,15,29
188,12,37
188,14,37
190,16,16
192,19,18
194,10,51
194,8,51
194,9,51
196,7,55
196,10,55
198,15,23
200,2,59
200,7,59
200,10,59
200,11,59
200,12,59
200,17,59
202,7,43
204,0,17
204,1,17
206,11,63
206,12,63
206,17,63
208,7,67
208,8,67
210,8,71
210,10,71
210,11,71
212,10,67
214,9,33
214,15,33
218,2,51
218,7,51
222,1,35
222,0,35
222,5,35
222,18,35
224,17,27
228,1,47
228,2,47
230,0,59
230,1,59
230,6,59
230,9,59
232,12,67
232,17,67
242,5,39
242,18,39
242,19,39
242,20,39
248,17,33
248,20,33
250,12,71
250,13,71
252,7,71
252,3,71
252,4,71
254,15,51
254,20,51
254,19,51
256,3,32
256,4,32
258,13,55
258,18,55
258,19,55
258,20,55
260,0,55
260,1,55
260,6,55
260,8,55
262,0,43
262,5,43
264,20,28
278,19,47
278,20,47
280,0,25
280,4,25
292,18,51
294,15,67
294,20,67
294,19,67
294,18,67
296,3,38
304,13,59
304,18,59
306,14,33
306,16,33
306,19,33
308,2,17
312,5,17
320,0,39
322,14,63
324,4,19
334,13,67
336,6,51
336,1,51
336,0,51
336,5,51
342,16,28
344,19,59
356,6,67
356,1,67
356,0,67
356,4,67
364,17,47
384,3,51
384,4,51
410,3,59
414,2,34
424,0,63
426,14,67
428,4,38
438,4,59
438,5,59
448,16,8
450,19,6
462,2,26
462,7,26
464,17,11
482,7,29
482,3,29
482,4,29
484,15,37
484,20,37
484,19,37
500,3,6
504,12,27
506,2,7
510,5,6
516,0,33
518,14,8
520,4,5
530,13,10
536,16,45
538,19,22
548,17,18
576,12,34
582,5,33
588,14,16
600,13,35
608,7,79
608,10,79
608,11,79
608,13,79
612,12,79
612,14,79
614,16,32
616,19,1
622,7,15
624,0,21
624,1,21
626,2,79
626,1,79
626,6,79
634,2,22
634,7,22
636,17,16
646,5,73
646,18,73
646,19,73
646,20,73
648,17,79
648,20,79
652,3,36
652,4,36
674,3,14
684,14,31
684,17,31
686,2,4
692,5,21
700,0,79
702,14,18
704,4,8
716,13,8
726,16,55
728,19,15
742,17,53
778,5,47
784,14,20
786,4,10
796,13,20
802,16,67
806,17,54
822,14,75
874,5,48
878,14,45
928,16,56
930,19,28
944,16,79
944,19,79
976,14,27
978,4,13
984,13,33
