path_id,source_id,destination_id,width
4,0,4,1
6,7,13,1
8,7,9,1
16,1,3,1
20,10,11,1
22,9,10,1
28,7,11,1
32,9,13,1
36,7,10,1
50,2,3,1
60,0,1,1
70,2,5,1
78,11,13,1
90,9,11,1
98,0,3,1
106,0,4,4
108,7,13,4
110,7,9,4
118,1,3,4
122,10,11,4
124,9,10,4
130,7,11,4
134,9,13,4
138,7,10,4
152,2,3,4
162,0,1,4
172,2,5,4
180,11,13,4
192,9,11,4
200,0,3,4
208,0,4,4
210,7,13,4
212,7,9,4
220,1,3,4
224,10,11,4
226,9,10,4
232,7,11,4
236,9,13,4
240,7,10,4
254,2,3,4
264,0,1,4
274,2,5,4
282,11,13,4
294,9,11,4
302,0,3,4
310,0,4,2
312,7,13,2
314,7,9,2
322,1,3,2
326,10,11,2
328,9,10,2
334,7,11,2
338,9,13,2
342,7,10,2
356,2,3,2
366,0,1,2
376,2,5,2
384,11,13,2
396,9,11,2
404,0,3,2
412,0,4,2
414,7,13,2
420,1,3,2
430,9,13,2
444,2,3,2
452,0,1,2
460,2,5,2
468,11,13,2
478,9,11,2
484,0,3,2
492,0,4,1
494,7,13,1
500,1,3,1
510,9,13,1
524,2,3,1
532,0,1,1
540,2,5,1
548,11,13,1
558,9,11,1
564,0,3,1
570,0,4,1
576,1,3,1
586,9,13,1
600,2,3,1
608,0,1,1
616,2,5,1
624,11,13,1
634,9,11,1
640,0,3,1
646,0,4,4
652,1,3,4
662,9,13,4
676,2,3,4
684,0,1,4
692,2,5,4
700,11,13,4
710,9,11,4
716,0,3,4
722,0,4,4
728,1,3,4
738,9,13,4
772,11,13,4
782,9,11,4
852,9,11,2
964,2,3,1
996,9,11,1
1038,2,3,1
1248,2,3,1
