path_id,source_id,destination_id,width
20,2,4,1
110,2,4,4
200,2,4,4
290,2,4,2
380,2,4,2
470,2,4,1
560,2,4,1
650,2,4,4
740,2,4,4
830,2,4,2
920,2,4,2
1010,2,4,1
1100,2,4,1
1190,2,4,4
1280,2,4,4
1370,2,4,2
1460,2,4,2
1550,2,4,1
1640,2,4,1
1730,2,4,4
1820,2,4,4
1910,2,4,2
2000,2,4,2
2090,2,4,1
2180,2,4,1
2270,2,4,4
2360,2,4,4
2450,2,4,2
2540,2,4,2
2630,2,4,1
2720,2,4,1
2810,2,4,4
2898,2,4,4
3034,2,4,1
14,15,20,1
104,15,20,4
194,15,20,4
284,15,20,2
374,15,20,2
464,15,20,1
554,15,20,1
644,15,20,4
734,15,20,4
824,15,20,2
914,15,20,2
1004,15,20,1
1094,15,20,1
1184,15,20,4
1274,15,20,4
1364,15,20,2
1454,15,20,2
1544,15,20,1
1634,15,20,1
1724,15,20,4
1814,15,20,4
1904,15,20,2
1994,15,20,2
2084,15,20,1
2174,15,20,1
2264,15,20,4
2354,15,20,4
2444,15,20,2
2534,15,20,2
2624,15,20,1
2714,15,20,1
2804,15,20,4
