path_id,link_id,first_color
20,6,0
110,6,1
200,6,5
290,6,9
380,6,11
470,6,13
560,6,14
650,6,15
740,6,19
830,6,23
920,6,25
1010,6,27
1100,6,28
1190,6,29
1280,6,33
1370,6,37
1460,6,39
1550,6,41
1640,6,42
1730,6,43
1820,6,47
1910,6,51
2000,6,53
2090,6,55
2180,6,56
2270,6,57
2360,6,61
2450,6,65
2540,6,67
2630,6,69
2720,6,70
2810,6,71
2898,6,75
3034,6,79
14,32,0
14,39,0
104,32,4
104,39,4
194,32,11
194,39,11
284,32,2
284,39,2
374,32,9
374,39,9
464,32,1
464,39,1
554,32,8
554,39,8
644,32,18
644,39,18
734,32,25
734,39,25
824,32,16
824,39,16
914,32,23
914,39,23
1004,32,15
1004,39,15
1094,32,22
1094,39,22
1184,32,32
1184,39,32
1274,32,39
1274,39,39
1364,32,30
1364,39,30
1454,32,37
1454,39,37
1544,32,29
1544,39,29
1634,32,36
1634,39,36
1724,32,46
1724,39,46
1814,32,53
1814,39,53
1904,32,44
1904,39,44
1994,32,51
1994,39,51
2084,32,43
2084,39,43
2174,32,50
2174,39,50
2264,32,60
2264,39,60
2354,32,67
2354,39,67
2444,32,58
2444,39,58
2534,32,65
2534,39,65
2624,32,57
2624,39,57
2714,32,64
2714,39,64
2804,32,74
2804,39,74
