path_id,link_id,first_color
14,31,0
20,6,0
104,31,1
110,6,1
194,31,5
200,6,5
284,31,9
290,6,9
374,31,11
380,6,11
464,31,13
470,6,13
554,31,14
560,6,14
644,31,15
650,6,15
734,31,19
740,6,19
824,31,23
830,6,23
914,31,25
920,6,25
1004,31,27
1010,6,27
1094,31,28
1100,6,28
1184,31,29
1190,6,29
1274,31,33
1280,6,33
1364,31,37
1370,6,37
1454,31,39
1460,6,39
1544,31,41
1550,6,41
1634,31,42
1640,6,42
1724,31,43
1730,6,43
1814,31,47
1820,6,47
1904,31,51
1910,6,51
1994,31,53
2000,6,53
2084,31,55
2090,6,55
2174,31,56
2180,6,56
2264,31,57
2270,6,57
2354,31,61
2360,6,61
2444,31,65
2450,6,65
2534,31,67
2540,6,67
2624,31,69
2630,6,69
2714,31,70
2720,6,70
2804,31,71
2810,6,71
2894,31,75
2898,6,75
3030,31,79
3034,6,79
