path_id,source_id,destination_id,width
2,14,15,1
6,5,7,1
8,13,16,1
12,10,15,1
14,3,11,1
16,21,22,1
18,0,7,1
20,1,5,1
24,11,19,1
30,6,12,1
32,10,19,1
34,15,22,1
36,3,4,1
38,14,20,1
42,15,23,1
50,9,12,1
52,2,8,1
54,11,22,1
58,2,10,1
62,2,9,1
64,12,18,1
66,15,18,1
70,16,17,1
72,16,23,1
74,9,16,1
76,9,23,1
78,5,12,1
80,11,14,1
82,12,23,1
86,1,7,1
94,4,10,1
96,15,21,1
100,17,20,1
102,13,22,1
110,6,11,1
112,10,21,1
114,2,12,1
118,6,16,1
120,19,21,1
122,15,19,1
124,8,13,1
128,0,5,1
130,19,23,1
132,8,12,1
134,0,10,1
136,14,18,1
138,5,10,1
140,3,9,1
142,6,7,1
144,4,6,1
148,12,13,1
150,5,16,1
154,8,22,1
156,1,6,1
160,4,7,1
166,14,23,1
168,3,7,1
170,15,17,1
176,10,11,1
180,2,6,1
182,14,21,1
186,19,22,1
188,8,14,1
192,3,6,1
198,4,5,1
200,17,23,1
204,10,20,1
206,2,11,1
208,6,9,1
210,12,19,1
212,7,9,1
214,11,18,1
216,14,17,1
218,8,11,1
220,16,21,1
224,2,5,1
226,2,3,1
230,12,20,1
232,19,20,1
236,11,23,1
242,16,20,1
246,10,14,1
248,13,21,1
250,7,8,1
252,9,10,1
254,8,21,1
256,9,17,1
258,0,3,1
264,21,23,1
266,17,21,1
268,0,1,1
270,6,17,1
274,3,10,1
276,7,12,1
282,8,20,1
284,12,16,1
288,14,22,1
290,1,10,1
296,1,2,1
298,11,15,1
300,3,13,1
304,6,10,1
310,2,13,1
314,7,13,1
316,1,4,1
324,0,6,1
326,16,19,1
328,7,10,1
330,12,22,1
334,22,23,1
336,11,20,1
338,15,20,1
344,6,8,1
346,6,13,1
348,4,9,1
350,9,22,1
352,14,19,1
356,4,8,1
358,8,15,1
360,5,6,1
364,13,20,1
366,5,11,1
370,10,18,1
376,13,17,1
380,3,5,1
382,5,15,1
386,2,7,1
388,17,22,1
394,20,23,1
396,1,8,1
402,8,19,1
404,5,9,1
408,3,12,1
410,11,21,1
412,15,16,1
420,14,16,1
422,2,4,1
424,12,17,1
426,1,3,1
430,5,8,1
432,8,16,1
434,0,2,1
436,5,13,1
438,8,10,1
440,12,21,1
444,9,21,1
446,9,20,1
448,0,9,1
450,9,13,1
452,0,8,1
454,1,9,1
456,16,22,1
458,10,23,1
462,13,23,1
464,0,4,1
466,3,8,1
470,8,9,1
472,20,21,1
478,20,22,1
480,10,22,1
490,14,15,4
494,5,7,4
496,13,16,4
500,10,15,4
502,3,11,4
504,21,22,4
506,0,7,4
508,1,5,4
512,11,19,4
518,6,12,4
520,10,19,4
522,15,22,4
524,3,4,4
526,14,20,4
530,15,23,4
538,9,12,4
540,2,8,4
542,11,22,4
546,2,10,4
550,2,9,4
552,12,18,4
554,15,18,4
558,16,17,4
560,16,23,4
562,9,16,4
564,9,23,4
566,5,12,4
568,11,14,4
570,12,23,4
574,1,7,4
582,4,10,4
584,15,21,4
588,17,20,4
590,13,22,4
598,6,11,4
600,10,21,4
606,6,16,4
608,19,21,4
610,15,19,4
616,0,5,4
618,19,23,4
620,8,12,4
622,0,10,4
624,14,18,4
626,5,10,4
628,3,9,4
630,6,7,4
632,4,6,4
636,12,13,4
638,1,6,4
640,4,7,4
642,10,12,4
646,14,23,4
648,3,7,4
652,2,6,4
658,3,6,4
660,11,17,4
662,4,5,4
664,17,23,4
666,6,9,4
670,16,21,4
672,2,5,4
674,2,3,4
676,19,20,4
680,16,20,4
684,9,10,4
694,0,1,4
698,12,16,4
700,1,10,4
706,6,10,4
720,15,20,4
726,4,8,4
728,5,6,4
730,10,18,4
736,2,7,4
740,1,8,4
746,15,16,4
752,2,4,4
756,5,8,4
760,8,10,4
768,16,22,4
774,20,21,4
780,21,22,4
782,1,5,4
784,10,19,4
786,15,22,4
788,3,4,4
792,16,17,4
798,15,21,4
804,14,18,4
806,5,10,4
818,17,23,4
822,16,21,4
826,2,3,4
854,15,20,4
858,10,18,4
864,15,16,4
868,2,4,4
870,5,8,4
878,16,22,4
888,14,15,2
892,5,7,2
894,13,16,2
896,10,15,2
898,21,22,2
900,0,7,2
902,1,5,2
906,10,19,2
908,15,22,2
910,3,4,2
914,15,23,2
916,9,12,2
918,2,8,2
922,15,18,2
926,16,17,2
930,1,7,2
932,15,21,2
938,0,5,2
942,14,18,2
944,5,10,2
946,6,7,2
948,12,13,2
950,4,7,2
952,3,7,2
954,2,6,2
960,17,23,2
962,10,20,2
966,16,21,2
970,2,3,2
978,0,1,2
988,11,15,2
990,6,10,2
1002,15,20,2
1004,6,8,2
1008,5,6,2
1010,10,18,2
1014,15,16,2
1022,5,8,2
1026,8,10,2
1032,16,22,2
1044,1,5,2
1046,10,19,2
1054,15,21,2
1062,14,18,2
1064,5,10,2
1066,12,13,2
1078,16,21,2
1110,5,6,2
1112,10,18,2
1116,15,16,2
1128,16,22,2
1142,14,15,1
1146,5,7,1
1148,13,16,1
1150,10,15,1
1152,21,22,1
1154,0,7,1
1156,1,5,1
1160,10,19,1
1162,15,22,1
1164,3,4,1
1168,15,23,1
1170,9,12,1
1172,2,8,1
1178,15,18,1
1182,16,17,1
1184,16,23,1
1188,5,12,1
1192,1,7,1
1194,15,21,1
1206,0,5,1
1208,0,10,1
1210,14,18,1
1212,5,10,1
1214,6,7,1
1216,12,13,1
1218,1,6,1
1220,4,7,1
1222,3,7,1
1224,15,17,1
1226,10,11,1
1234,3,6,1
1238,17,23,1
1240,10,16,1
1242,6,9,1
1246,11,18,1
1248,16,21,1
1250,2,5,1
1252,2,3,1
1256,16,20,1
1258,10,14,1
1264,0,1,1
1270,12,16,1
1276,11,15,1
1290,15,20,1
1296,5,6,1
1298,10,18,1
1304,15,16,1
1308,2,4,1
1312,5,8,1
1320,9,13,1
1322,16,22,1
1330,8,9,1
1332,20,21,1
1340,14,15,1
1342,13,16,1
1344,21,22,1
1346,1,5,1
1350,10,19,1
1352,15,22,1
1354,3,4,1
1356,9,12,1
1360,16,17,1
1364,15,21,1
1372,14,18,1
1374,5,10,1
1376,6,7,1
1378,12,13,1
1394,16,21,1
1396,2,5,1
1398,2,3,1
1402,16,20,1
1404,10,14,1
1434,5,6,1
1436,10,18,1
1440,15,16,1
1444,2,4,1
1446,5,8,1
1456,16,22,1
1470,10,19,4
1480,14,18,4
1506,15,16,4
1568,1,5,2
1570,10,19,2
1582,14,18,2
1598,16,21,2
1624,10,18,2
1720,1,5,1
1724,10,19,1
1726,3,4,1
1730,16,17,1
1738,14,18,1
1740,5,10,1
1742,6,7,1
1744,12,13,1
1756,16,21,1
1758,2,3,1
1788,10,18,1
1792,15,16,1
1796,2,4,1
1798,5,8,1
1808,16,22,1
1818,1,5,1
1828,5,10,1
1842,16,21,1
1876,15,16,1
1882,5,8,1
2014,1,5,1
2038,16,21,1
2072,15,16,1
2094,1,5,1
2150,15,16,1
2284,1,5,1
2360,1,5,1
2548,1,5,1
2624,1,5,1
390,4,11,1
378,7,14,1
302,7,11,1
428,11,13,1
222,10,17,1
228,9,14,1
416,13,14,1
162,10,12,1
392,9,11,1
1302,9,11,1
92,10,13,1
580,10,13,4
184,11,12,1
956,11,12,2
1230,11,12,1
1386,11,12,1
194,9,15,1
48,12,14,1
202,10,16,1
536,12,14,4
196,11,17,1
1236,11,17,1
368,13,15,1
306,12,15,1
1278,12,15,1
106,11,16,1
594,11,16,4
