path_id,link_id,first_color
2,28,0
6,10,0
6,13,0
8,25,0
8,26,0
12,20,0
12,24,0
14,8,1
14,14,1
14,17,1
14,20,1
16,40,0
18,1,1
18,10,1
18,13,1
20,3,0
24,24,1
24,31,1
24,38,1
30,14,2
30,16,2
30,18,2
32,21,3
32,29,3
34,32,1
34,40,1
36,7,1
38,28,2
38,31,2
42,32,2
42,40,2
42,41,2
50,18,1
52,5,3
52,8,3
52,14,3
54,24,5
54,32,5
54,40,5
58,5,4
58,8,4
58,14,4
58,17,4
62,6,1
62,9,1
62,15,1
64,26,6
64,34,6
64,39,6
64,38,6
64,37,6
66,31,7
66,38,7
66,37,7
70,33,1
72,33,2
72,36,2
74,18,3
74,26,3
76,19,4
76,27,4
76,36,4
78,11,6
78,16,6
78,18,6
80,24,7
80,28,7
82,25,5
82,27,5
82,36,5
86,3,3
86,10,3
86,13,3
94,7,6
94,8,6
94,14,6
94,17,6
96,32,0
100,33,4
100,34,4
100,39,4
102,25,8
102,26,8
102,35,8
110,14,8
110,17,8
110,20,8
112,20,9
112,24,9
112,32,9
114,5,7
114,8,7
114,14,7
114,16,7
114,18,7
118,14,9
118,16,9
118,18,9
118,26,9
120,38,2
120,39,2
122,31,9
122,38,9
124,16,8
124,19,8
128,1,2
130,38,10
130,39,10
130,40,10
130,41,10
132,16,10
132,18,10
134,1,3
134,12,3
136,29,8
136,37,8
138,12,0
140,8,11
140,14,11
140,16,11
142,13,4
144,7,8
144,8,8
148,25,4
150,11,12
150,16,12
150,18,12
150,26,12
154,16,13
154,18,13
154,26,13
154,35,13
156,3,4
156,10,4
160,9,4
166,28,12
166,32,12
166,40,12
166,41,12
168,7,10
168,9,10
170,30,5
170,33,5
176,20,13
180,5,12
180,8,12
182,28,13
182,32,13
186,38,13
186,39,13
186,40,13
188,17,7
188,21,7
192,8,0
198,7,13
198,8,13
198,10,13
200,36,7
204,20,17
204,24,17
204,31,17
206,5,15
206,8,15
206,14,15
206,17,15
206,20,15
208,14,16
208,16,16
210,26,15
210,34,15
210,39,15
210,38,15
212,15,4
214,20,16
214,22,16
216,28,16
216,30,16
216,33,16
218,17,18
218,20,18
220,34,1
224,2,8
224,3,8
226,5,1
230,26,7
230,34,7
230,39,7
232,38,8
236,24,8
236,32,8
236,40,8
236,41,8
242,34,3
242,39,3
246,21,6
248,25,16
248,26,16
248,34,16
250,15,19
250,16,19
252,16,17
252,17,17
254,16,22
254,18,22
254,26,22
254,34,22
256,19,12
256,27,12
258,0,9
258,2,9
258,5,9
264,40,9
264,41,9
266,33,10
266,34,10
268,0,2
270,14,20
270,16,20
270,19,20
270,27,20
274,8,19
274,14,19
274,17,19
276,15,11
276,18,11
282,16,24
282,18,24
282,26,24
282,34,24
282,39,24
284,26,17
288,28,18
288,32,18
288,40,18
290,3,9
290,12,9
296,2,4
298,24,14
300,8,23
300,14,23
300,16,23
300,19,23
304,14,12
304,17,12
310,6,13
310,9,13
310,15,13
310,19,13
314,15,10
314,19,10
316,2,11
316,6,11
324,1,7
324,10,7
326,34,18
326,39,18
326,38,18
328,15,29
328,16,29
328,17,29
330,26,19
330,35,19
334,41,11
336,24,18
336,31,18
338,31,5
344,14,0
346,14,25
346,16,25
346,19,25
348,9,12
348,15,12
350,18,29
350,26,29
350,35,29
352,29,7
356,7,22
356,8,22
356,14,22
358,17,25
358,20,25
358,24,25
360,10,8
364,25,20
364,26,20
364,34,20
364,39,20
366,12,20
366,20,20
370,22,1
376,27,1
380,8,20
380,10,20
382,12,26
382,20,26
382,24,26
386,6,8
386,9,8
388,36,13
388,41,13
394,39,19
394,40,19
394,41,19
396,3,11
396,11,11
402,17,20
402,21,20
402,29,20
404,11,3
404,16,3
408,8,34
408,14,34
408,16,34
408,18,34
410,24,19
410,32,19
412,30,7
420,28,22
420,30,22
422,6,4
424,25,17
424,27,17
