id,source_id,destination_id,width,distance
0,0,1,80,800.0
1,0,5,80,1000.0
2,1,2,80,1100.0
3,1,5,80,950.0
4,2,24,80,7.0
5,2,3,80,250.0
6,2,4,80,1000.0
7,3,4,80,800.0
8,3,6,80,850.0
9,4,7,80,1200.0
10,5,6,80,1000.0
11,5,8,80,1200.0
12,5,10,80,1900.0
13,6,7,80,1150.0
14,6,8,80,1000.0
15,7,9,80,900.0
16,8,9,80,1000.0
17,8,10,80,1400.0
18,9,12,80,950.0
19,9,13,80,850.0
20,10,11,80,900.0
21,10,14,80,1300.0
22,10,18,80,2800.0
24,11,15,80,1000.0
25,12,13,80,650.0
26,12,16,80,1100.0
27,13,17,80,1200.0
28,14,15,80,800.0
29,14,19,80,1300.0
30,15,16,80,1000.0
31,15,20,80,1000.0
32,15,21,80,800.0
33,16,17,80,800.0
34,16,21,80,850.0
35,16,22,80,1000.0
36,17,23,80,900.0
37,18,19,80,1200.0
38,19,20,80,700.0
39,20,21,80,300.0
40,21,22,80,600.0
41,22,23,80,900.0
