path_id,link_id,first_color
4,25,0
4,26,0
8,20,0
8,24,0
10,40,0
12,3,0
16,32,1
16,40,1
18,7,0
20,28,1
20,31,1
24,18,0
34,33,1
34,36,1
38,24,2
38,28,2
44,32,0
54,31,2
54,38,2
58,1,1
66,7,1
66,8,1
70,25,2
72,3,2
72,10,2
78,7,2
78,9,2
86,28,4
86,32,4
98,14,0
98,16,0
104,34,1
106,2,3
106,3,3
108,5,1
114,34,2
114,39,2
118,15,1
118,16,1
128,33,3
128,34,3
130,0,2
162,31,4
164,14,2
170,10,1
174,8,4
174,10,4
176,6,1
176,9,1
178,36,2
178,41,2
190,30,0
196,6,2
198,25,3
198,27,3
204,11,2
214,19,0
218,35,3
226,39,4
238,25,5
238,26,5
242,20,4
242,24,4
244,40,5
246,3,5
250,32,9
250,40,9
252,7,5
254,28,9
254,31,9
258,18,5
268,33,8
268,36,8
272,24,13
272,28,13
278,32,13
288,31,17
288,38,17
292,1,9
300,7,9
300,8,9
304,25,13
306,3,13
306,10,13
312,7,13
312,9,13
320,28,21
320,32,21
332,14,4
332,16,4
338,34,9
340,2,17
340,3,17
342,5,9
348,34,17
348,39,17
352,15,8
352,16,8
362,33,13
362,34,13
364,0,13
396,31,25
398,14,12
404,10,9
408,8,21
408,10,21
410,6,9
410,9,9
412,36,12
412,41,12
424,30,4
430,6,13
432,25,17
432,27,17
438,11,9
448,19,3
452,35,21
460,39,21
472,25,25
472,26,25
476,20,21
476,24,21
478,40,25
480,3,25
484,32,33
484,40,33
486,7,25
488,28,33
488,31,33
492,18,9
502,33,25
502,36,25
506,24,25
506,28,25
512,32,17
522,31,41
522,38,41
526,1,13
534,7,29
534,8,29
538,25,33
540,3,33
540,10,33
546,8,25
546,13,25
554,28,37
554,32,37
566,14,20
566,16,20
572,34,29
574,2,37
574,3,37
576,5,29
582,34,41
582,39,41
586,15,16
586,16,16
596,33,33
596,34,33
598,0,21
630,31,49
632,14,29
638,10,41
642,8,45
642,10,45
644,6,29
644,9,29
646,36,21
646,41,21
658,30,25
664,6,21
666,25,37
666,27,37
672,11,20
682,19,21
686,35,33
694,39,29
706,25,45
706,26,45
710,20,37
710,24,37
712,40,41
714,3,45
718,32,43
718,40,43
720,7,41
722,28,57
722,31,57
726,18,25
736,33,43
736,36,43
740,24,41
740,28,41
746,32,6
756,31,59
756,38,59
760,1,2
768,7,43
768,8,43
772,25,49
774,3,49
774,10,49
780,8,41
780,13,41
788,28,49
788,32,49
800,14,41
800,16,41
806,34,49
808,2,51
808,3,51
810,5,45
