path_id,source_id,destination_id,width
4,13,16,1
8,10,15,1
10,21,22,1
12,1,5,1
16,15,22,1
18,3,4,1
20,14,20,1
24,9,12,1
34,16,23,1
38,11,14,1
44,15,21,1
48,11,16,1
54,15,19,1
58,0,5,1
66,4,6,1
70,12,13,1
72,1,6,1
78,3,7,1
86,14,21,1
98,6,9,1
104,16,21,1
106,2,5,1
108,2,3,1
114,16,20,1
118,7,8,1
128,17,21,1
130,0,1,1
146,12,15,1
162,15,20,1
164,6,8,1
170,5,6,1
174,3,5,1
176,2,7,1
178,17,22,1
190,15,16,1
196,2,4,1
198,12,17,1
204,5,8,1
214,9,13,1
218,16,22,1
226,20,21,1
238,13,16,4
242,10,15,4
244,21,22,4
246,1,5,4
250,15,22,4
252,3,4,4
254,14,20,4
258,9,12,4
268,16,23,4
272,11,14,4
278,15,21,4
282,11,16,4
288,15,19,4
292,0,5,4
300,4,6,4
304,12,13,4
306,1,6,4
312,3,7,4
320,14,21,4
332,6,9,4
338,16,21,4
340,2,5,4
342,2,3,4
348,16,20,4
352,7,8,4
362,17,21,4
364,0,1,4
380,12,15,4
396,15,20,4
398,6,8,4
404,5,6,4
408,3,5,4
410,2,7,4
412,17,22,4
424,15,16,4
430,2,4,4
432,12,17,4
438,5,8,4
448,9,13,4
452,16,22,4
460,20,21,4
472,13,16,4
476,10,15,4
478,21,22,4
480,1,5,4
484,15,22,4
486,3,4,4
488,14,20,4
492,9,12,4
502,16,23,4
506,11,14,4
512,15,21,4
516,11,16,4
522,15,19,4
526,0,5,4
534,4,6,4
538,12,13,4
540,1,6,4
546,3,7,4
554,14,21,4
566,6,9,4
572,16,21,4
574,2,5,4
576,2,3,4
582,16,20,4
586,7,8,4
596,17,21,4
598,0,1,4
614,12,15,4
630,15,20,4
632,6,8,4
638,5,6,4
642,3,5,4
644,2,7,4
646,17,22,4
658,15,16,4
664,2,4,4
666,12,17,4
672,5,8,4
682,9,13,4
686,16,22,4
694,20,21,4
706,13,16,2
710,10,15,2
712,21,22,2
714,1,5,2
718,15,22,2
720,3,4,2
722,14,20,2
726,9,12,2
736,16,23,2
740,11,14,2
746,15,21,2
750,11,16,2
756,15,19,2
760,0,5,2
768,4,6,2
772,12,13,2
774,1,6,2
780,3,7,2
788,14,21,2
800,6,9,2
806,16,21,2
808,2,5,2
810,2,3,2
816,16,20,2
820,7,8,2
830,17,21,2
832,0,1,2
848,12,15,2
864,15,20,2
866,6,8,2
872,5,6,2
876,3,5,2
878,2,7,2
880,17,22,2
892,15,16,2
898,2,4,2
900,12,17,2
906,5,8,2
916,9,13,2
920,16,22,2
928,20,21,2
940,13,16,2
944,10,15,2
946,21,22,2
948,1,5,2
952,15,22,2
954,3,4,2
956,14,20,2
960,9,12,2
970,16,23,2
974,11,14,2
980,15,21,2
984,11,16,2
990,15,19,2
994,0,5,2
1002,4,6,2
1006,12,13,2
1008,1,6,2
1014,3,7,2
1022,14,21,2
1034,6,9,2
1040,16,21,2
1042,2,5,2
1044,2,3,2
1050,16,20,2
1054,7,8,2
1064,17,21,2
1066,0,1,2
1082,12,15,2
1098,15,20,2
1100,6,8,2
1106,5,6,2
1110,3,5,2
1112,2,7,2
1114,17,22,2
1126,15,16,2
1132,2,4,2
1134,12,17,2
1140,5,8,2
1150,9,13,2
1154,16,22,2
1162,20,21,2
1174,13,16,1
1178,10,15,1
1180,21,22,1
1182,1,5,1
1186,15,22,1
1188,3,4,1
1190,14,20,1
1194,9,12,1
1204,16,23,1
1208,11,14,1
1214,15,21,1
1218,11,16,1
1224,15,19,1
1228,0,5,1
1236,4,6,1
1240,12,13,1
1242,1,6,1
1248,3,7,1
1256,14,21,1
1268,6,9,1
1274,16,21,1
1276,2,5,1
1278,2,3,1
1284,16,20,1
1288,7,8,1
1298,17,21,1
1300,0,1,1
1316,12,15,1
1332,15,20,1
1334,6,8,1
1340,5,6,1
1344,3,5,1
1346,2,7,1
1348,17,22,1
1360,15,16,1
1366,2,4,1
1368,12,17,1
1374,5,8,1
1384,9,13,1
1388,16,22,1
1408,13,16,1
1412,10,15,1
1414,21,22,1
1416,1,5,1
1420,15,22,1
1422,3,4,1
1424,14,20,1
1428,9,12,1
1438,16,23,1
1442,11,14,1
1448,15,21,1
1452,11,16,1
1458,15,19,1
1462,0,5,1
1470,4,6,1
1474,12,13,1
1476,1,6,1
1482,3,7,1
1490,14,21,1
1502,6,9,1
1508,16,21,1
1510,2,5,1
1512,2,3,1
1522,7,8,1
1532,17,21,1
1534,0,1,1
1550,12,15,1
1568,6,8,1
1574,5,6,1
1578,3,5,1
1580,2,7,1
1582,17,22,1
1594,15,16,1
1600,2,4,1
1602,12,17,1
1608,5,8,1
1618,9,13,1
1622,16,22,1
1640,13,16,4
1644,10,15,4
1646,21,22,4
1648,1,5,4
1654,3,4,4
1656,14,20,4
1664,16,23,4
1668,11,14,4
1670,11,16,4
1686,4,6,4
1694,3,7,4
1706,6,9,4
1718,7,8,4
1740,12,15,4
1758,17,22,4
1764,15,16,4
1826,4,6,4
1846,6,9,4
1858,7,8,4
1890,17,22,4
1924,13,16,2
1928,10,15,2
1936,3,4,2
1938,14,20,2
1946,16,23,2
1952,15,21,2
1960,15,19,2
1972,4,6,2
1990,6,9,2
1996,16,21,2
2004,7,8,2
2038,17,22,2
2044,15,16,2
2064,16,22,2
2080,10,15,2
2090,14,20,2
2140,7,8,2
2174,17,22,2
2180,15,16,2
2212,13,16,1
2216,10,15,1
2220,1,5,1
2224,15,22,1
2226,3,4,1
2228,14,20,1
2236,16,23,1
